TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
4,668.245,238.11,0
4,668.244,238.11,1
4,668.159,238.055,2
4,669.051,237.822,3
4,669.168,237.683,4
4,668.53,237.515,5
4,668.084,237.379,6
4,668.255,237.354,7
4,668.063,236.943,8
4,667.755,236.856,9
4,667.424,237.064,10
4,667.767,237.301,11
4,668.852,238.049,12
4,669.036,238.034,13
4,667.885,237.585,14
4,667.718,237.987,15
4,668.168,238.147,16
4,668.773,237.572,17
4,668.407,237.548,18
4,668.71,237.696,19
4,669.189,237.421,20
4,668.568,237.222,21
4,668.229,237.06,22
4,668.09,236.997,23
4,668.228,236.775,24
4,667.042,234.409,25
4,666.364,234.524,26
4,667.209,233.652,27
4,666.876,233.71,28
4,666.205,233.891,29
4,666.306,233.503,30
4,667.04,232.935,31
4,666.941,232.184,32
4,666.375,231.923,33
4,665.882,232.072,34
4,666.177,231.804,35
4,666.866,231.956,36
4,670.246,231.452,37
4,671.27,230.841,38
4,672.379,231.113,39
4,671.721,230.798,40
4,671.116,230.834,41
4,672.615,231.426,42
4,672.086,231.293,43
4,672.498,231.289,44
4,673.019,231.201,45
4,673.001,231.218,46
4,673.086,231.269,47
4,674.331,231.056,48
4,674.223,231.546,49
4,675.79,231.706,50
4,674.862,231.178,51
4,675.648,232.192,52
4,674.598,230.951,53
4,674.867,230.435,54
4,673.896,230.141,55
4,673.188,230.678,56
4,673.181,230.75,57
4,673.082,231.29,58
4,673.39,231.131,59
4,674.658,230.844,60
4,675.96,231.251,61
4,675.795,230.27,62
4,674.847,230.314,63
4,675.054,230.532,64
4,675.122,230.419,65
4,675.826,230.505,66
4,676.406,230.434,67
4,676.072,230.035,68
4,675.602,229.457,69
4,675.436,229.478,70
4,675.379,229.797,71
4,675.036,229.602,72
4,674.773,229.437,73
4,674.523,229.211,74
4,674.879,228.992,75
4,673.94,229.232,76
4,673.661,229.061,77
4,673.194,229.02,78
4,673.837,228.902,79
4,673.74,229.011,80
4,673.681,229.093,81
4,674.584,228.82,82
4,675.748,228.824,83
4,676.694,228.302,84
4,676.021,228.294,85
4,674.941,229.032,86
4,674.715,228.863,87
4,675.145,228.93,88
4,675.277,229.359,89
4,676.293,229.335,90
4,676.884,229.336,91
4,677.699,230.332,92
4,677.044,230.899,93
4,676.134,230.581,94
4,675.481,230.134,95
4,675.551,230.019,96
4,674.798,230.098,97
4,676.096,230.587,98
4,676.46,231.05,99
4,677.42,231.338,100
4,678.949,231.822,101
4,678.196,231.788,102
4,678.845,231.701,103
4,679.157,231.711,104
4,679.037,231.781,105
4,680.611,231.885,106
4,680.476,231.928,107
4,680.25,231.316,108
4,680.504,230.993,109
4,680.08,231.274,110
4,679.676,230.87,111
4,679.651,230.989,112
4,679.696,230.454,113
4,680.026,231.026,114
4,679.804,231.163,115
4,680.108,231.995,116
4,680.776,232.525,117
4,681.889,232.258,118
4,682.362,232.086,119
4,682.718,232.313,120
4,683.143,232.596,121
4,683.67,232.791,122
4,684.499,232.445,123
4,685.278,233.43,124
4,685.434,233.474,125
4,685.079,233.624,126
4,684.943,233.948,127
4,684.587,234.6,128
4,685.709,235.821,129
4,685.486,236.24,130
6,601.887,224.315,0
6,601.887,224.315,1
6,601.249,224.25,2
6,602.123,224.043,3
6,602.128,224.048,4
