TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
0,574.726,221.017,0
0,574.726,221.017,1
0,573.808,220.955,2
0,578.329,221.069,3
0,578.321,221.067,4
0,581.159,221.263,5
0,578.233,221.139,6
0,582.069,221.146,7
0,587.437,221.324,8
0,580.074,220.69,9
0,578.075,220.706,10
0,582.38,220.992,11
0,575.71,220.934,12
0,578.661,220.893,13
0,575.718,220.521,14
0,576.04,220.706,15
0,575.937,220.74,16
0,577.611,220.656,17
0,574.964,220.385,18
0,574.987,220.387,19
0,576.023,219.93,20
0,575.833,220.001,21
0,576.58,219.977,22
0,576.273,219.952,23
0,570.954,219.116,24
0,573.498,217.504,25
0,570.424,217.589,26
0,572.947,216.764,27
0,569.804,216.766,28
0,569.305,216.936,29
0,573.7,217.204,30
0,577.876,217.015,31
0,575.967,215.93,32
0,575.983,215.995,33
0,569.948,215.675,34
0,576.758,216.369,35
0,574.849,216.219,36
0,578.267,215.601,37
0,578.626,215.05,38
0,578.198,215.066,39
0,578.923,215.058,40
0,577.264,214.877,41
0,579.204,215.557,42
0,579.166,215.476,43
0,579.783,215.549,44
0,580.007,215.535,45
0,580.292,215.702,46
0,580.681,215.765,47
0,581.79,215.518,48
0,580.352,215.653,49
0,581.644,215.719,50
0,583.349,215.423,51
0,578.306,215.958,52
0,579.808,216.121,53
0,590.172,216.238,54
0,586.946,215.013,55
0,590.811,215.873,57
0,588.734,216.747,58
0,598,217,59
0,599.763,216.849,60
0,591.56,216.366,61
2,546.062,218.67,3
2,545.03,218.774,4
2,544.462,218.26,5
2,534.916,217.025,6
2,542.648,217.284,7
2,543.06,216.989,8
2,542.666,216.88,9
2,542,217,10
2,534.302,216.631,11
2,534.311,217.146,12
2,526.983,216.67,13
2,528.012,216.571,14
2,531.262,216.771,15
2,532.487,216.939,16
2,529.305,216.569,17
2,527.361,216.54,18
2,529.404,216.721,19
2,529.641,216.53,20
2,531.51,216.608,21
2,532.265,216.433,22
2,532.844,216.473,23
2,544.054,216.839,24
2,543.183,215.119,25
2,542.917,215.297,26
5,431,218,3
5,423.585,218.342,4
5,422.208,218.282,5
5,421.782,218.318,6
5,420.941,218.271,7
5,417.812,218.224,8
5,415.089,218.129,9
5,416.367,218.105,10
5,417.033,218.302,11
5,415.532,218.918,12
5,424.249,217.737,13
5,431.79,217.043,14
5,435,217,15
5,437,217,16
5,430.963,217.602,17
5,424.642,218.192,18
5,427.724,218.009,19
5,424.918,217.741,20
5,423.792,217.856,21
5,421.796,217.812,22
5,417.516,218.121,23
5,410.695,218.12,24
5,407.473,216.754,25
5,409.967,216.785,26
5,410.914,215.76,27
5,409.018,216.273,28
5,408.235,216.22,29
5,410.257,215.717,30
5,406.871,215.579,31
5,406.609,214.92,32
5,408.224,215.04,33
5,411.313,214.779,34
6,523.734,217.14,0
6,523.734,217.14,1
6,519.733,217.138,2
6,519.237,216.679,3
6,516.408,216.68,4
6,519.766,216.697,5
6,520.015,216.692,6
6,521.07,216.526,7
6,519.587,215.945,8
6,519.399,215.927,9
6,519.278,215.92,10
6,517.185,215.987,11
6,511.259,216.27,12
6,503.291,215.787,13
6,503.385,215.787,14
6,503.264,215.786,15
6,504.062,215.795,16
6,505.579,215.848,17
6,505.454,215.85,18
6,505.717,215.851,19
6,502.332,215.296,20
6,502.138,215.446,21
6,503.189,215.442,22
6,499.425,215.363,23
6,495.323,214.662,24
10,370.737,241.937,0
10,370.737,241.937,1
10,370.933,241.683,2
10,371.011,241.431,3
10,370.803,241.602,4
10,370.34,241.573,5
10,370.218,241.666,6
10,371.11,241.437,7
10,370.945,241.284,8
10,370.729,240.957,9
10,370.727,241.048,10
10,371.496,241.34,11
10,371.988,241.893,12
10,371.733,241.447,13
10,370.851,241.425,14
10,370.857,241.638,15
10,371.213,241.868,16
10,371.337,241.555,17
10,371.495,241.752,18
10,372.083,241.694,19
10,371.779,241.395,20
10,371.48,241.394,21
10,370.886,241.352,22
10,370.492,241.692,23
10,369.704,240.831,24
10,369.509,239.318,25
10,368.918,239.5,26
10,369.924,238.852,27
10,369.26,239.26,28
10,368.555,239.343,29
10,368.733,239.111,30
10,369.385,238.45,31
10,369.555,237.689,32
10,369.378,237.896,33
10,369.573,238.145,34
10,369.731,238.257,35
10,370.173,238.19,36
10,373.47,237.739,37
10,374.303,237.08,38
10,375.261,237.035,39
10,374.576,236.919,40
10,374.062,237.048,41
10,374.476,237.542,42
10,374.878,237.01,43
10,375.608,237.161,44
10,375.399,237.131,45
10,375.244,237.238,46
10,375.892,237.191,47
10,376.736,237.245,48
10,377.161,237.569,49
10,378.024,237.479,50
10,378.361,236.9,51
10,378.176,237.483,52
10,377.312,238.457,53
10,377.59,237.174,54
10,376.766,236.475,55
10,376.245,237.12,56
10,375.492,237.217,57
10,375.224,237.721,58
10,375.433,237.263,59
10,376.616,236.327,60
10,377.312,236.511,61
10,376.817,235.555,62
10,376.44,235.656,63
10,376.986,235.826,64
10,377.64,235.519,65
10,377.902,236.183,66
10,378.316,235.853,67
10,378.673,235.797,68
10,378.388,235.423,69
10,378.191,235.565,70
10,378.394,235.625,71
10,378.503,235.278,72
10,378.597,235.316,73
10,378.159,235.063,74
10,378.371,234.446,75
10,377.806,235.102,76
10,377.451,234.965,77
10,377.088,235.354,78
10,377.002,235.135,79
10,376.225,235.395,80
